Metric,Multipath-NADA,Aggregated-NADA,Improvement (%),Scenario
Loss (%),0.0,0.0,,Hybrid Fiber-5G - Weighted Best Path
Jitter (seconds),9.659840612237641e-07,3.9259928592727275e-06,75.39516509964544,Hybrid Fiber-5G - Weighted Best Path
Estimated MOS (1-5),4.759914243966245,4.7661743845762405,-0.13134518598929504,Hybrid Fiber-5G - Weighted Best Path
Throughput Stability (stddev),84.5514470053263,29.05189803373978,-191.03587967688526,Hybrid Fiber-5G - Weighted Best Path
Path Utilization Ratio (%),3.6209087105624143,,,Hybrid Fiber-5G - Weighted Best Path
Delivery Efficiency (%),0.0,0.0,,Hybrid Fiber-5G - Weighted Best Path
Buffer Length (ms),352.239,454.605,-22.51757019830403,Hybrid Fiber-5G - Weighted Best Path
Buffer Underruns,11.0,15.0,26.666666666666668,Hybrid Fiber-5G - Weighted Best Path
Throughput (Mbps),58.358479570666674,20.714587956818182,181.72648035443086,Hybrid Fiber-5G - Round Robin
Delay (seconds),0.05818556363636363,0.058382468181818185,0.337266565780231,Hybrid Fiber-5G - Round Robin
Loss (%),0.0,0.0,,Hybrid Fiber-5G - Round Robin
Jitter (seconds),9.111322857135931e-07,3.9259928592727275e-06,76.79230914642122,Hybrid Fiber-5G - Round Robin
Estimated MOS (1-5),4.767189096051336,4.7661743845762405,0.021289852053652275,Hybrid Fiber-5G - Round Robin
Throughput Stability (stddev),84.75677988213171,29.05189803373978,-191.74265923589016,Hybrid Fiber-5G - Round Robin
Path Utilization Ratio (%),3.6023752821399184,,,Hybrid Fiber-5G - Round Robin
Delivery Efficiency (%),0.0,0.0,,Hybrid Fiber-5G - Round Robin
Buffer Length (ms),0.0,454.605,-100.0,Hybrid Fiber-5G - Round Robin
Buffer Underruns,1.0,15.0,93.33333333333333,Hybrid Fiber-5G - Round Robin
Throughput (Mbps),52.52264294730001,20.714587956818182,153.55388703260326,Hybrid Fiber-5G - Frame Aware
Delay (seconds),0.05818556136363637,0.058382468181818185,0.3372704586051391,Hybrid Fiber-5G - Frame Aware
Loss (%),0.0,0.0,,Hybrid Fiber-5G - Frame Aware
Jitter (seconds),9.024050129863205e-07,3.9259928592727275e-06,77.01460381276681,Hybrid Fiber-5G - Frame Aware
Estimated MOS (1-5),4.767189762699796,4.7661743845762405,0.02130383913020885,Hybrid Fiber-5G - Frame Aware
Throughput Stability (stddev),82.29127210251482,29.05189803373978,-183.25609571858212,Hybrid Fiber-5G - Frame Aware
Path Utilization Ratio (%),3.242138453537038,,,Hybrid Fiber-5G - Frame Aware
Delivery Efficiency (%),0.0,0.0,,Hybrid Fiber-5G - Frame Aware
Buffer Length (ms),0.0,454.605,-100.0,Hybrid Fiber-5G - Frame Aware
Buffer Underruns,1.0,15.0,93.33333333333333,Hybrid Fiber-5G - Frame Aware
Throughput (Mbps),58.358479570666674,20.714587956818182,181.72648035443086,Hybrid Fiber-5G - Buffer_Aware
Delay (seconds),0.05818556363636363,0.058382468181818185,0.337266565780231,Hybrid Fiber-5G - Buffer_Aware
Loss (%),0.0,0.0,,Hybrid Fiber-5G - Buffer_Aware
